;DOI;PUBYEAR;AUTHOR_CNT;REF_CNT;COUNTRY_CNT;INST_CNT;CIT_CNT;COUNTRYCODE;keyword
0;10.1002/ad.1700;2014;1.0;6.0;1.0;1.0;0.0;GBR;big data
1;10.1002/ad.1700;2014;1.0;6.0;1.0;1.0;0.0;GBR;big data
2;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
3;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
4;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
5;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
6;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
7;10.3305/nh.2014.29.4.7275;2014;4.0;72.0;1.0;2.0;1.0;ESP;big data
8;10.1016/j.amepre.2011.01.006;2011;3.0;63.0;1.0;1.0;4.0;USA;big data
9;10.1016/j.amepre.2011.01.006;2011;3.0;63.0;1.0;1.0;4.0;USA;big data
10;10.1080/03632415.2014.946128;2014;2.0;50.0;1.0;2.0;0.0;USA;big data
11;10.1080/03632415.2014.946128;2014;2.0;50.0;1.0;2.0;0.0;USA;big data
12;10.1080/03632415.2014.946128;2014;2.0;50.0;1.0;2.0;0.0;USA;big data
13;10.1016/j.amepre.2011.01.006;2011;3.0;63.0;1.0;1.0;4.0;USA;big data
14;10.1016/j.amepre.2011.01.006;2011;3.0;63.0;1.0;1.0;4.0;USA;big data
15;10.1186/1471-2105-14-191;2013;2.0;38.0;1.0;2.0;4.0;AUT;big data
16;10.1186/1471-2105-14-191;2013;2.0;38.0;1.0;2.0;4.0;AUT;big data
17;10.1186/1471-2105-14-191;2013;2.0;38.0;1.0;2.0;4.0;AUT;big data
18;10.1186/1471-2105-14-191;2013;2.0;38.0;1.0;2.0;4.0;AUT;big data
19;10.1186/1471-2105-14-191;2013;2.0;38.0;1.0;2.0;4.0;AUT;big data
20;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
21;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
22;;2014;10.0;15.0;4.0;10.0;0.0;JPN;big data
23;;2014;10.0;15.0;4.0;10.0;0.0;JPN;big data
24;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
25;;2014;10.0;15.0;4.0;10.0;0.0;JPN;big data
26;;2014;10.0;15.0;4.0;10.0;0.0;JPN;big data
27;;2014;10.0;15.0;4.0;10.0;0.0;JPN;big data
28;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
29;;2014;10.0;15.0;4.0;10.0;0.0;CAN;big data
30;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
31;;2014;10.0;15.0;4.0;10.0;0.0;NLD;big data
32;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
33;;2014;10.0;15.0;4.0;10.0;0.0;CHN;big data
34;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
35;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
36;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
37;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
38;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
39;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
40;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
41;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
42;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
43;10.1016/j.amepre.2010.03.002;2010;8.0;54.0;1.0;7.0;6.0;USA;big data
44;10.1016/j.fss.2014.01.017;2015;3.0;50.0;1.0;1.0;0.0;CHN;big data
45;10.1016/j.fss.2014.01.017;2015;3.0;50.0;1.0;1.0;0.0;CHN;big data
46;10.1016/j.fss.2014.01.017;2015;3.0;50.0;1.0;1.0;0.0;CHN;big data
47;10.1016/j.fss.2014.01.017;2015;3.0;50.0;1.0;1.0;0.0;CHN;big data
48;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
49;10.1057/ejis.2014.17;2014;3.0;68.0;3.0;3.0;0.0;USA;big data
50;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
51;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
52;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
53;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
54;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
55;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
56;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
57;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;USA;big data
58;10.1016/j.drudis.2014.06.018;2014;8.0;83.0;2.0;4.0;0.0;IND;big data
59;10.1057/ejis.2014.17;2014;3.0;68.0;3.0;3.0;0.0;SGP;big data
60;10.1057/ejis.2014.17;2014;3.0;68.0;3.0;3.0;0.0;AUS;big data
61;10.1057/ejis.2014.17;2014;3.0;68.0;3.0;3.0;0.0;AUS;big data
62;10.1016/j.apgeog.2013.09.012;2014;1.0;55.0;1.0;1.0;2.0;NLD;big data
63;10.1016/j.apgeog.2013.09.012;2014;1.0;55.0;1.0;1.0;2.0;NLD;big data
64;10.1007/s11825-013-0373-0;2013;4.0;22.0;1.0;2.0;0.0;DEU;big data
65;10.1007/s11825-013-0373-0;2013;4.0;22.0;1.0;2.0;0.0;DEU;big data
66;10.1007/s11825-013-0373-0;2013;4.0;22.0;1.0;2.0;0.0;DEU;big data
67;10.1007/s11825-013-0373-0;2013;4.0;22.0;1.0;2.0;0.0;DEU;big data
68;10.1007/s11825-013-0373-0;2013;4.0;22.0;1.0;2.0;0.0;DEU;big data
69;10.1016/j.compedu.2014.08.016;2015;3.0;60.0;2.0;3.0;0.0;KOR;big data
70;10.1016/j.compedu.2014.08.016;2015;3.0;60.0;2.0;3.0;0.0;KOR;big data
71;10.1016/j.compedu.2014.08.016;2015;3.0;60.0;2.0;3.0;0.0;USA;big data
72;10.1016/j.compedu.2014.08.016;2015;3.0;60.0;2.0;3.0;0.0;KOR;big data
73;10.1890/140130;2015;6.0;40.0;1.0;3.0;1.0;USA;big data
